"Prime Contract ID","Contract Includes Sub Vendors","Vendor Record Type","Prime Vendor","Prime Vendor M/WBE Category","Prime Contract Purpose","Prime Contract Current Amount","Prime Contract Original Amount","Prime Vendor Spend to Date","Prime Contract Start Date","Prime Contract End Date","Prime Contract Registration Date","Prime Woman Owned Business","Prime Emerging Business","Prime Contracting Agency","OCA Number","Prime Contract Version","FMS Document/Parent Contract ID","Prime Contract Type","Prime Contract Award Method","Prime Contract Expense Category","Prime Contract Industry","Prime Contract PIN","Prime Contract APT PIN","% COVID Spending","% Other Spending","Sub Vendor","Sub Vendor M/WBE Category","Sub Contract Purpose","Subcontract Status","Sub Contract Industry","Sub Contract Current Amount","Sub Contract Original Amount","Sub Vendor Paid to Date","Sub Contract Start Date","Sub Contract End Date","Sub Contract Reference ID","Sub Woman Owned Business","Sub Emerging Business"
CTA181620227209318,Not Required,Prime Vendor,WEI WEI & CO LLP,Non-M/WBE,Tier 1 - CPA Audits of Providers / WEI WEI & CO LLP,94950.00,94950.00,70950.00,2022-04-01,2023-06-30,2022-06-30,No ,No ,Department of Health and Mental Hygiene,,3,MMA106920206201681,CONSULTANT,MULTIPLE AWARDS,"CONTRACTUAL SERVICES GENERAL, PROF SERV ACCTING & AUDITING",Human Services,816-22MA045901R0X00,14PPEOCCNV05R02,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620227209317,Not Required,Prime Vendor,"TOSKI & CO., CPAs, P.C.",Non-M/WBE,"Tier 1 - CPA Audits of Providers / TOSKI & CO., CPAs, P.C.",80250.00,80250.00,56250.00,2022-04-01,2023-06-30,2022-07-07,No ,No ,Department of Health and Mental Hygiene,,4,MMA106920216200136,CONSULTANT,MULTIPLE AWARDS,PROF SERV ACCTING & AUDITING,Human Services,816-22MA045701R0X00,14PPEOCCNV04R02,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620227209316,Not Required,Prime Vendor,WEI WEI & CO LLP,Non-M/WBE,Tier 2 - CPA Audits of Providers,29000.00,29000.00,20400.00,2022-04-01,2023-06-30,2022-06-30,No ,No ,Department of Health and Mental Hygiene,,3,MMA106920206201666,CONSULTANT,MULTIPLE AWARDS,PROF SERV ACCTING & AUDITING,Human Services,816-22MA046001R0X00,14PPEOCCNV14R02,-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620227203722,Not Required,Prime Vendor,GARTNER INC,Non-M/WBE,Advice about information technology and the functional respo,40143.00,40143.00,40143.00,2021-11-01,2022-10-31,2022-01-11,No ,No ,Department of Health and Mental Hygiene,1011890408,1,MMA185720196201381,CONSULTANT,INTERGOVERNMENTAL PROCUREMENT,TRAINING PRGM CITY EMPLOYEES,Professional Services,816-22MI022501R0X00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620217205808,Not Required,Prime Vendor,"GENEVA WORLDWIDE, INC.",Non-M/WBE,Task Order Renewal for Documents Translation Services,10000.00,2500.00,1366.29,2021-06-03,2024-06-02,2021-04-22,No ,No ,Department of Health and Mental Hygiene,,10,MMA185720186201636,WORK/LABOR,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Professional Services,81621I0133001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620217205236,Not Required,Prime Vendor,"LANGUAGE LINE SERVICES, INC.",Non-M/WBE,Task Order Renewal for Telephonic Interpretation services,90000.00,25000.00,75373.27,2021-06-03,2024-06-02,2021-04-09,No ,No ,Department of Health and Mental Hygiene,,11,MMA185720186201621,WORK/LABOR,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Professional Services,81621I0129001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620217205178,Not Required,Prime Vendor,VEOLIA ES TECHNICAL SOLUTIONS LLC,Non-M/WBE,"Contract to Remove, Handle and Process IT Equipment Waste",150000.00,150000.00,25029.96,2020-12-01,2030-11-30,2021-03-22,No ,No ,Department of Health and Mental Hygiene,,9,MMA182720216200571,WORK/LABOR,MULTIPLE AWARDS,"CONTRACTUAL SERVICES GENERAL, DATA PROCESSING EQUIPMENT MAINTENANCE",Goods,81621I0125001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620217204996,Not Required,Prime Vendor,VEOLIA ES TECHNICAL SOLUTIONS LLC,Non-M/WBE,"Contract to Remove, Handle and Process IT Equipment Waste",30000.00,30000.00,8685.19,2020-12-01,2025-11-30,2021-03-17,No ,No ,Department of Health and Mental Hygiene,,8,MMA182720216200571,WORK/LABOR,MULTIPLE AWARDS,"MAINT & OPER OF INFRASTRUCTURE, MAINT & REP GENERAL",Goods,81621I0126001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620217204711,Not Required,Prime Vendor,VEOLIA ES TECHNICAL SOLUTIONS LLC,Non-M/WBE,Electronic Waste Disposal,50000.00,50000.00,14608.65,2020-12-01,2025-11-30,2021-03-23,No ,No ,Department of Health and Mental Hygiene,,5,MMA182720216200571,WORK/LABOR,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Not Classified,81621Z8015KXL,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620217200017,No Data Entered,Prime Vendor,ACCURATE COMMUNICATION INC,Black American,To continue sign language services for DOHMH and Covid-19,299856.18,99867.00,17061.54,2020-05-01,2023-04-30,2020-07-23,Yes,No ,Department of Health and Mental Hygiene,,64,MMA185720196201021,WORK/LABOR,MULTIPLE AWARDS,"CONTRACTUAL SERVICES GENERAL, OTHR SERV AND CHRGS-GENERAL, PROF SERV OTHER",Professional Services,81621I0147001,"",0.86,4.65,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620207207353,No Data Entered,Prime Vendor,UNIQUE COMP INC,Asian American,System Integration-LeadQuest,1527397.00,1284294.00,832591.06,2019-11-11,2022-11-27,2020-03-26,Yes,No ,Department of Health and Mental Hygiene,,8,MMA185820186000030,CONSULTANT,MULTIPLE AWARDS,CONTRACTUAL SERVICES GENERAL,Professional Services,20MI050201R0X00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620207201846,No Data Entered,Prime Vendor,"GENEVA WORLDWIDE, INC.",Non-M/WBE,Will permit continuity of these critical services,1580352.54,80352.54,172412.65,2019-07-01,2024-06-30,2019-09-05,No ,No ,Department of Health and Mental Hygiene,,30,MMA185720196000000,WORK/LABOR,MULTIPLE AWARDS,"CONTRACTUAL SERVICES GENERAL, PROF SERV OTHER",Professional Services,20OE012901R0Z01,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620207201037,No Data Entered,Prime Vendor,NAGARRO INC,Non-M/WBE,Integrated Revenue Management System,1448282.19,1360000.00,1249845.14,2019-03-01,2021-12-30,2019-08-22,No ,No ,Department of Health and Mental Hygiene,,11,MMA185820186000094,CONSULTANT,MULTIPLE AWARDS,"CAPITAL PURCHASED EQUIPMENT, CONTRACTUAL SERVICES GENERAL",Professional Services,81621I0122001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620207200601,No Data Entered,Prime Vendor,FJC SECURITY SERVICES INC,Non-M/WBE,Provision unarmed security services for NYC DOHMH Facilities,7502451.07,4866198.31,6158528.22,2019-09-01,2022-11-30,2019-11-14,No ,No ,Department of Health and Mental Hygiene,,35,MMA185720196200586,WORK/LABOR,MULTIPLE AWARDS,SECURITY SERVICES,Standardized Services,20BS006502R0X00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620207000030,No Data Entered,Prime Vendor,FJC SECURITY SERVICES INC,Non-M/WBE,"TO Pool 1 unarmed guards, fire guards, FLSD",15085809.98,6308471.64,9382578.27,2019-07-01,2022-11-27,2019-09-30,No ,No ,Department of Health and Mental Hygiene,,28,MMA185720196200586,WORK/LABOR,MULTIPLE AWARDS,SECURITY SERVICES,Standardized Services,81619ME049,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620197210367,No Data Entered,Prime Vendor,"Motorola Solutions, Inc",Non-M/WBE,CONTRACT EXTENSION FOR WORK PERFORMED.,5833536.00,5833536.00,5797370.80,2019-04-26,2024-04-26,2019-04-24,No ,No ,Department of Health and Mental Hygiene,,4,MMA185820176200451,DOITT-REQUIREMENTSCONTRACT(RC),MULTIPLE AWARDS,"CAPITAL PURCHASED EQUIPMENT, CONSTRUCTION-BUILDINGS",Professional Services,85807S0020CNVR004,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620197200377,No Data Entered,Prime Vendor,ACCURATE COMMUNICATION INC,Black American,In-Person Interpretation Services: Increase due to COVID-19,1865348.00,65905.00,1318383.51,2018-07-01,2024-06-30,2018-08-03,Yes,No ,Department of Health and Mental Hygiene,,107,MMA185720196000001,WORK/LABOR,MULTIPLE AWARDS,"CONTRACTUAL SERVICES GENERAL, ECONOMIC DEVELOPMENT, OTHR SERV AND CHRGS-GENERAL, PROF SERV OTHER",Human Services,81621I0145001,"",11.88,44.66,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620187213381,No Data Entered,Prime Vendor,"LANGUAGE LINE SERVICES, INC.",Non-M/WBE,Due to COVID-19 there is an Increase need of telephonic serv,1885198.00,356000.00,2023572.45,2018-06-03,2024-06-02,2018-06-25,No ,No ,Department of Health and Mental Hygiene,,407,MMA185720186201621,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,"CONTRACTUAL SERVICES GENERAL, OTHR SERV AND CHRGS-GENERAL, PROF SERV OTHER",Professional Services,18OE044902R0A04,"",6.41,90.53,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620187213351,No Data Entered,Prime Vendor,"LANGUAGE LINE SERVICES, INC.",Non-M/WBE,To continue services for Document Translation,2275800.00,1137900.00,1579984.12,2018-06-03,2024-06-02,2018-06-27,No ,No ,Department of Health and Mental Hygiene,,85,MMA185720186201608,REQUIREMENTS-SERVICES,MULTIPLE AWARDS,"ADVERTISING, CONTRACTUAL SERVICES GENERAL, OTHR SERV AND CHRGS-GENERAL, PROF SERV OTHER",Professional Services,81621I0151001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CTA181620187203527,No Data Entered,Prime Vendor,AITHENT INC,Non-M/WBE,"Mod- Time, Money extension for post- production support work",4999950.00,4220000.00,4999732.86,2017-07-10,2023-06-30,2017-11-08,No ,No ,Department of Health and Mental Hygiene,,25,MMA185820186000090,CONSULTANT,MULTIPLE AWARDS,"CAPITAL PURCHASED EQUIPMENT, CONTRACTUAL SERVICES GENERAL",Professional Services,18IO037401R0G02,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620258802048,No Data Entered,Prime Vendor,NORTHWELL HEALTH INC,Non-M/WBE,Laboratory Testing,5919066.47,5919066.47,233758.86,2023-01-01,2026-12-31,2024-10-10,No ,No ,Department of Health and Mental Hygiene,1016448038,12,-,SUPPLIES/MATERIALS/EQUIPMENT,INTERGOVERNMENTAL PROCUREMENT RENEWAL,PROF SERV OTHER,Goods,81624O0003001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620258801308,No Data Entered,Prime Vendor,SPRUCE TECHNOLOGY INC,Asian American,continue to provide software system including license and c,297342.54,297342.54,37357.54,2022-08-01,2024-07-31,2024-08-22,No ,No ,Department of Health and Mental Hygiene,,6,-,CONSULTANT,INTERGOVERNMENTAL PROCUREMENT RENEWAL,"CONTRACTUAL SERVICES GENERAL, PROF SERV OTHER",Professional Services,81624G0002001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620258801226,No Data Entered,Prime Vendor,SPRUCE TECHNOLOGY INC,Asian American,Online referral portal for EI,250000.00,250000.00,0.00,2023-02-01,2028-01-31,2024-07-25,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,M/WBE SMALL PURCHASE,CONTRACTUAL SERVICES GENERAL,Human Services,81623W0029001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620258801069,No Data Entered,Prime Vendor,NEW YORK UNIVERSITY,Non-M/WBE,COVID-19 Reports & Analytics,252000.00,252000.00,0.00,2022-01-01,2022-12-31,2024-07-29,No ,No ,Department of Health and Mental Hygiene,1015680780,2,-,PROGRAMS,NEGOTIATED ACQUISITION AND DOE NEGOTIATED SERVICES,CONTRACTUAL SERVICES GENERAL,Human Services,81623N0007001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620251403331,Not Required,Prime Vendor,AFRICAN AMERICAN DAY PARADE INC,Non-M/WBE,Good Health is Essential Project: Scholarships,5000.00,5000.00,4988.92,2022-07-01,2023-06-30,2024-08-29,No ,No ,Department of Health and Mental Hygiene,1016295291,2,-,PROGRAMS,SM PURCHASE COUNCIL & BP NEEDS,CONTRACTUAL SERVICES GENERAL,Human Services,23FB038601R0X00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620251403077,Yes,Prime Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,563178628.61,563178628.61,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,1015794334,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,GODS LOVE WE DELIVER INC,Non-M/WBE,Food and Nutrition- CTL,ACCO Reviewing Subcontract,Professional Services,1031761.00,1031761.00,0.00,2024-07-01,2025-06-30,011,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,"COMMUNITY HEALTH ACTION OF STATEN ISLAND, INC.",Non-M/WBE,Substance Use Services on Staten Island,ACCO Reviewing Subcontract,Professional Services,1406250.00,1406250.00,0.00,2024-10-01,2028-06-30,004,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,YMCA OF GREATER NEW YORK,Non-M/WBE,Substance Use Services on Staten Island,ACCO Reviewing Subcontract,Professional Services,1406250.00,1406250.00,0.00,2024-10-01,2028-06-30,010,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,STATEN ISLAND PERFORMING PROVIDER SYSTEM LLC,Non-M/WBE,Substance Use Services on Staten Island,ACCO Reviewing Subcontract,Professional Services,1406250.00,1406250.00,0.00,2024-10-01,2028-06-30,006,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,RICHMOND MEDICAL CENTER,Non-M/WBE,Substance Use Services on Staten Island,ACCO Reviewing Subcontract,Professional Services,1406100.00,1406100.00,0.00,2024-10-01,2028-06-30,005,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,UNITED ACTIVITIES UNLIMITED INC,Non-M/WBE,Substance Use Services on Staten Island,ACCO Reviewing Subcontract,Professional Services,1406250.00,1406250.00,0.00,2024-10-01,2028-06-30,009,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,"CAMELOT OF STATEN ISLAND, INC",Non-M/WBE,Substance Use Services on Staten Island,ACCO Reviewing Subcontract,Professional Services,1406250.00,1406250.00,0.00,2024-10-01,2028-06-30,003,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,STATEN ISLAND UNIVERSITY HOSPITAL,Non-M/WBE,Substance Use Services on Staten Island,ACCO Reviewing Subcontract,Professional Services,1340966.00,1340966.00,0.00,2024-10-01,2028-06-30,007,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,"The Staten Island Partnership for Community Wellness, Inc.",Non-M/WBE,Substance Use Services on Staten Island,ACCO Reviewing Subcontract,Professional Services,1381354.00,1381354.00,0.00,2024-10-01,2028-06-30,008,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,YESHIVA UNIVERSITY,Non-M/WBE,City Council FY24,ACCO Reviewing Subcontract,Professional Services,150000.00,150000.00,0.00,2024-07-01,2026-06-30,002,No ,No 
CT181620251403077,Yes,Sub Vendor,PUBLIC HEALTH SOLUTIONS,Non-M/WBE,MASTER CONTRACTOR FOR DISEASE CONTROL,0.00,0.00,0.00,2021-07-01,2029-09-01,2024-08-23,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,ASSIGNMENT,CONTRACTUAL SERVICES GENERAL,Human Services,81620P0004001,"",-,-,COMMON GROUND MANAGEMENT CORP,Non-M/WBE,Living in Place: Assisting Aging in Place for Older Adults with Serious Mental Illness,ACCO Reviewing Subcontract,Professional Services,419752.00,419752.00,0.00,2024-07-01,2025-06-30,001,No ,No 
CT181620251401891,Not Required,Prime Vendor,ALI FORNEY CENTER,Non-M/WBE,enhance the delivery of services to racial-minority homeless,5000.00,5000.00,0.00,2022-07-01,2023-06-30,2024-08-02,No ,No ,Department of Health and Mental Hygiene,1015688607,1,-,PROGRAMS,SM PURCHASE COUNCIL & BP NEEDS,CONTRACTUAL SERVICES GENERAL,Human Services,23FB036701R0X00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620251400896,Not Required,Prime Vendor,SHI INTERNATIONAL CORP,Asian American,Evital system/electronic vital events registration systems,14079.96,14079.96,14079.96,2022-09-01,2023-08-31,2024-07-25,Yes,No ,Department of Health and Mental Hygiene,,5,-,PROGRAMS,"SMALL PURCHASE - UNDER $5,000",DATA PROCESSING SUPPLIES,Human Services,23VR027801R0X00,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620248807696,Not Required,Prime Vendor,PRECISELY SOFTWARE INCORPORATED,Non-M/WBE,Custom Software Service,84000.00,84000.00,56000.00,2022-09-01,2025-08-31,2024-05-31,No ,No ,Department of Health and Mental Hygiene,,2,-,PROGRAMS,SOLE SOURCE,DATA PROCESSING SUPPLIES,Human Services,81623S0015001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
CT181620248807267,Not Required,Prime Vendor,DrFirstcom Inc,Non-M/WBE,Rcopia web-based solution,119359.50,119359.50,90931.50,2023-04-01,2025-10-31,2024-05-01,No ,No ,Department of Health and Mental Hygiene,,3,-,PROGRAMS,SOLE SOURCE,DATA PROCESSING SUPPLIES,Human Services,81623S0013001,"",-,,-,-,-,-,-,0.00,0.00,0.00,-,-,-,No ,No 
